State,Year,Number With Current Asthma,Percent With Current Asthma,State Abbreviation
Illinois,2018,860007,8.7,IL
Indiana,2018,509651,10,IN
Iowa,2018,190960,7.9,IA
Kansas,2018,214698,9.8,KS
Kentucky,2018,395345,11.5,KY
Louisiana,2018,316423,8.9,LA
Maine,2018,132126,12.3,ME
Maryland,2018,439909,9.3,MD
Massachusetts,2018,558435,10.2,MA
Michigan,2018,872519,11.2,MI
Minnesota,2018,357232,8.3,MN
Mississippi,2018,218223,9.7,MS
Missouri,2018,444334,9.4,MO
Montana,2018,82660,10,MT
Nebraska,2018,128793,8.9,NE
Nevada,2018,186787,8,NV
New Hampshire,2018,128307,11.8,NH
New Jersey,2018,593242,8.4,NJ
New Mexico,2018,157177,9.9,NM
New York,2018,1578011,10.1,NY
North Carolina,2018,757790,9.4,NC
North Dakota,2018,46996,8.2,ND
Ohio,2018,854186,9.4,OH
Oklahoma,2018,307581,10.3,OK
Oregon,2018,383340,11.6,OR
Pennsylvania,2018,1012588,10,PA
Rhode Island,2018,101251,11.9,RI
South Carolina,2018,360353,9.1,SC
South Dakota,2018,51652,7.9,SD
Tennessee,2018,513084,9.8,TN
Texas,2018,1572815,7.4,TX
Utah,2018,206360,9.3,UT
Vermont,2018,60216,12,VT
Virginia,2018,563510,8.5,VA
Washington,2018,558951,9.6,WA
West Virginia,2018,175368,12.3,WV
Wisconsin,2018,408318,9,WI
Wyoming,2018,38099,8.7,WY
Guam,2018,5272,5,
Puerto Rico,2018,303623,11.1,
Alabama,2017,409623,10.9,AL
Alaska,2017,46863,8.4,AK
Arizona,2017,529155,9.8,AZ
Arkansas,2017,219001,9.6,AR
California,2017,2398304,7.9,CA
Colorado,2017,404012,9.3,CO
Connecticut,2017,299336,10.7,CT
Delaware,2017,79827,10.6,DE
District of Columbia,2017,52814,9.4,
Florida,2017,1258262,7.5,FL
Georgia,2017,663053,8.4,GA
Hawaii,2017,109177,9.8,HI
Idaho,2017,113842,9,ID
Illinois,2017,808252,8.2,IL
Indiana,2017,509205,10,IN
Iowa,2017,223269,9.3,IA
Kansas,2017,199738,9.1,KS
Kentucky,2017,367763,10.7,KY
Louisiana,2017,319238,9,LA
Maine,2017,119995,11.2,ME
Maryland,2017,440338,9.4,MD
Massachusetts,2017,621312,11.5,MA
Michigan,2017,837016,10.8,MI
Minnesota,2017,310955,7.3,MN
Mississippi,2017,187772,8.3,MS
Missouri,2017,442086,9.4,MO
Montana,2017,74843,9.1,MT
Nebraska,2017,118181,8.2,NE
Nevada,2017,240247,10.4,NV
New Hampshire,2017,142205,13.2,NH
New Jersey,2017,600483,8.6,NJ
New Mexico,2017,165265,10.5,NM
New York,2017,1426161,9.2,NY
North Carolina,2017,730767,9.2,NC
North Dakota,2017,50524,8.6,ND
Ohio,2017,888520,9.9,OH
Oklahoma,2017,285215,9.6,OK
Oregon,2017,353411,10.9,OR
Pennsylvania,2017,1021687,10.1,PA
Rhode Island,2017,103853,12.3,RI
South Carolina,2017,361086,9.2,SC
South Dakota,2017,48077,7.3,SD
Tennessee,2017,517735,10,TN
Texas,2017,1543064,7.3,TX
Utah,2017,192523,8.9,UT
Vermont,2017,59012,11.8,VT
Virginia,2017,581200,8.9,VA
Washington,2017,603962,10.5,WA
West Virginia,2017,182240,12.7,WV
Wisconsin,2017,428991,9.5,WI
Wyoming,2017,40805,9.1,WY
Guam,2017,7892,7.4,
Puerto Rico,2017,334638,12.1,
Alabama,2016,365041,9.7,AL
Alaska,2016,48398,8.8,AK
Arizona,2016,491794,9.4,AZ
Arkansas,2016,193863,8.5,AR
California,2016,2366008,7.8,CA
Colorado,2016,374598,8.8,CO
Connecticut,2016,295601,10.5,CT
Delaware,2016,63617,8.5,DE
District of Columbia,2016,55365,9.9,
Florida,2016,1109768,6.7,FL
Georgia,2016,666285,8.5,GA
Hawaii,2016,120293,10.7,HI
Idaho,2016,115109,9.3,ID
Illinois,2016,879704,8.9,IL
Indiana,2016,514349,10.2,IN
Iowa,2016,187872,7.8,IA
Kansas,2016,193078,8.8,KS
Kentucky,2016,394686,11.6,KY
Louisiana,2016,297349,8.4,LA
Maine,2016,130992,12.2,ME
Maryland,2016,439666,9.4,MD
Massachusetts,2016,560739,10.3,MA
Michigan,2016,841111,10.9,MI
Minnesota,2016,321439,7.6,MN
Mississippi,2016,181044,8,MS
