State,Year,Number With Current Asthma,Percent With Current Asthma
Louisiana,2020,276711,7.8
Maine,2020,115621,10.6
Maryland,2020,420686,8.9
Massachusetts,2020,592048,10.7
Michigan,2020,859534,11
Minnesota,2020,369238,8.5
Mississippi,2020,201273,8.9
Missouri,2020,441777,9.3
Montana,2020,89552,10.6
Nebraska,2020,114104,7.8
Nevada,2020,230431,9.5
New Hampshire,2020,127113,11.5
New Jersey,2020,598649,8.7
New Mexico,2020,162657,10.1
New York,2020,1449094,9.5
North Carolina,2020,645784,7.8
North Dakota,2020,49883,8.6
Ohio,2020,895631,9.9
Oklahoma,2020,322759,10.8
Oregon,2020,356958,10.6
Pennsylvania,2020,1032246,10.2
Rhode Island,2020,103190,12.1
South Carolina,2020,385741,9.4
South Dakota,2020,53990,8.1
Tennessee,2020,552156,10.3
Texas,2020,1617392,7.4
Utah,2020,249663,10.8
Vermont,2020,54781,10.8
Virginia,2020,571162,8.6
Washington,2020,579774,9.6
West Virginia,2020,175011,12.4
Wisconsin,2020,465109,10.2
Wyoming,2020,44192,10
Guam,2020,5369,5
Puerto Rico,2020,283602,10.4
Alabama,2019,360965,9.5
Alaska,2019,54239,9.9
Arizona,2019,544394,9.7
Arkansas,2019,215095,9.3
California,2019,2405797,7.8
Colorado,2019,434603,9.7
Connecticut,2019,297971,10.5
Delaware,2019,75119,9.8
District of Columbia,2019,65253,11.4
Florida,2019,1292568,7.4
Georgia,2019,620794,7.7
Hawaii,2019,106413,9.6
Idaho,2019,131709,10
Illinois,2019,808461,8.2
Indiana,2019,499841,9.8
Iowa,2019,194614,8
Kansas,2019,217474,9.9
Kentucky,2019,326678,9.5
Louisiana,2019,280621,7.9
Maine,2019,127896,11.8
Maryland,2019,424051,9
Massachusetts,2019,570379,10.3
Michigan,2019,867732,11.1
Minnesota,2019,358668,8.3
Mississippi,2019,225468,9.9
Missouri,2019,479037,10.1
Montana,2019,83280,10
Nebraska,2019,116768,8
Nevada,2019,224825,9.4
New Hampshire,2019,119305,10.8
New Jersey,2019,598649,8.7
New Mexico,2019,134715,8.4
New York,2019,1419951,9.3
North Carolina,2019,681689,8.3
North Dakota,2019,47369,8.1
Ohio,2019,1009034,11.1
Oklahoma,2019,302947,10.2
Oregon,2019,369735,11.1
Pennsylvania,2019,1104033,10.9
Rhode Island,2019,94817,11.2
South Carolina,2019,376358,9.4
South Dakota,2019,56510,8.5
Tennessee,2019,463655,8.8
Texas,2019,1532311,7.1
Utah,2019,223768,9.9
Vermont,2019,59140,11.6
Virginia,2019,586339,8.8
Washington,2019,590642,9.9
West Virginia,2019,164016,11.5
Wisconsin,2019,460075,10.2
Wyoming,2019,41968,9.5
Guam,2019,5556,5.2
Puerto Rico,2019,287511,10.5
Alabama,2018,394634,10.5
Alaska,2018,50685,9.2
Arizona,2018,545104,10
Arkansas,2018,225853,9.8
California,2018,2607598,8.5
Colorado,2018,399357,9.1
Connecticut,2018,290278,10.3
Delaware,2018,77035,10.1
District of Columbia,2018,66441,11.6
Florida,2018,1495632,8.7
Georgia,2018,714569,8.9
Hawaii,2018,104368,9.3
Idaho,2018,111954,8.6
Illinois,2018,860007,8.7
Indiana,2018,509651,10
Iowa,2018,190960,7.9
Kansas,2018,214698,9.8
Kentucky,2018,395345,11.5
Louisiana,2018,316423,8.9
Maine,2018,132126,12.3
Maryland,2018,439909,9.3
Massachusetts,2018,558435,10.2
Michigan,2018,872519,11.2
Minnesota,2018,357232,8.3
Mississippi,2018,218223,9.7
Missouri,2018,444334,9.4
Montana,2018,82660,10
Nebraska,2018,128793,8.9
Nevada,2018,186787,8
New Hampshire,2018,128307,11.8
New Jersey,2018,593242,8.4
New Mexico,2018,157177,9.9
New York,2018,1578011,10.1
North Carolina,2018,757790,9.4
North Dakota,2018,46996,8.2
Ohio,2018,854186,9.4
Oklahoma,2018,307581,10.3
Oregon,2018,383340,11.6
Pennsylvania,2018,1012588,10
Rhode Island,2018,101251,11.9
South Carolina,2018,360353,9.1
South Dakota,2018,51652,7.9
Tennessee,2018,513084,9.8
Texas,2018,1572815,7.4
Utah,2018,206360,9.3
Vermont,2018,60216,12
Virginia,2018,563510,8.5
Washington,2018,558951,9.6
West Virginia,2018,175368,12.3
Wisconsin,2018,408318,9
Wyoming,2018,38099,8.7
Guam,2018,5272,5
Puerto Rico,2018,303623,11.1
Alabama,2017,409623,10.9
Alaska,2017,46863,8.4
Arizona,2017,529155,9.8
Arkansas,2017,219001,9.6
California,2017,2398304,7.9
Colorado,2017,404012,9.3
Connecticut,2017,299336,10.7
Delaware,2017,79827,10.6
District of Columbia,2017,52814,9.4
Florida,2017,1258262,7.5
Georgia,2017,663053,8.4
Hawaii,2017,109177,9.8
Idaho,2017,113842,9
Illinois,2017,808252,8.2
Indiana,2017,509205,10
Iowa,2017,223269,9.3
Kansas,2017,199738,9.1
Kentucky,2017,367763,10.7
Louisiana,2017,319238,9
Maine,2017,119995,11.2
Maryland,2017,440338,9.4
Massachusetts,2017,621312,11.5
Michigan,2017,837016,10.8
Minnesota,2017,310955,7.3
Mississippi,2017,187772,8.3
Missouri,2017,442086,9.4
Montana,2017,74843,9.1
Nebraska,2017,118181,8.2
Nevada,2017,240247,10.4
New Hampshire,2017,142205,13.2
New Jersey,2017,600483,8.6
New Mexico,2017,165265,10.5
New York,2017,1426161,9.2
North Carolina,2017,730767,9.2
North Dakota,2017,50524,8.6
Ohio,2017,888520,9.9
Oklahoma,2017,285215,9.6
Oregon,2017,353411,10.9
Pennsylvania,2017,1021687,10.1
Rhode Island,2017,103853,12.3
South Carolina,2017,361086,9.2
South Dakota,2017,48077,7.3
Tennessee,2017,517735,10
Texas,2017,1543064,7.3
Utah,2017,192523,8.9
Vermont,2017,59012,11.8
Virginia,2017,581200,8.9
Washington,2017,603962,10.5
West Virginia,2017,182240,12.7
Wisconsin,2017,428991,9.5
Wyoming,2017,40805,9.1
Guam,2017,7892,7.4
Puerto Rico,2017,334638,12.1
Alabama,2016,365041,9.7
Alaska,2016,48398,8.8
Arizona,2016,491794,9.4
Arkansas,2016,193863,8.5
California,2016,2366008,7.8
Colorado,2016,374598,8.8
Connecticut,2016,295601,10.5
Delaware,2016,63617,8.5
District of Columbia,2016,55365,9.9
Florida,2016,1109768,6.7
Georgia,2016,666285,8.5
Hawaii,2016,120293,10.7
Idaho,2016,115109,9.3
Illinois,2016,879704,8.9
Indiana,2016,514349,10.2
Iowa,2016,187872,7.8
Kansas,2016,193078,8.8
Kentucky,2016,394686,11.6
Louisiana,2016,297349,8.4
Maine,2016,130992,12.2
Maryland,2016,439666,9.4
Massachusetts,2016,560739,10.3
Michigan,2016,841111,10.9
Minnesota,2016,321439,7.6
Mississippi,2016,181044,8
Missouri,2016,463150,9.9
Montana,2016,69403,8.5
Nebraska,2016,118932,8.3
Nevada,2016,179986,7.9
New Hampshire,2016,121566,11.4
New Jersey,2016,573506,8.2
New Mexico,2016,185678,11.8
New York,2016,1474062,9.5
North Carolina,2016,630864,8
North Dakota,2016,53028,9
Ohio,2016,873284,9.7
Oklahoma,2016,293910,10
Oregon,2016,335445,10.5
Pennsylvania,2016,1070258,10.6
Rhode Island,2016,90375,10.7
South Carolina,2016,340518,8.8
South Dakota,2016,40253,6.2
Tennessee,2016,559423,10.9
Texas,2016,1584264,7.6
Utah,2016,175360,8.3
Vermont,2016,51211,10.2
Virginia,2016,560419,8.6
Washington,2016,538758,9.6
West Virginia,2016,171816,11.8
Wisconsin,2016,381108,8.5
Wyoming,2016,42717,9.5
Guam,2016,5486,5.1
Puerto Rico,2016,298918,10.7
Virgin Islands,2016,5011,6.3
Alabama,2015,370128,9.9
Alaska,2015,50792,9.2
Arizona,2015,479791,9.3
Arkansas,2015,226691,10.1
California,2015,2290491,7.7
Colorado,2015,375709,9
Connecticut,2015,294997,10.5
Delaware,2015,67950,9.2
District of Columbia,2015,57793,10.6
Florida,2015,1197036,7.4
Georgia,2015,708933,9.2
Hawaii,2015,111142,10
Idaho,2015,110735,9.1
Illinois,2015,828784,8.4
Indiana,2015,512557,10.2
Iowa,2015,181072,7.6
Kansas,2015,188514,8.7
Kentucky,2015,403499,11.9
Louisiana,2015,288759,8.2
Maine,2015,120034,11.2
Maryland,2015,408914,8.8
Massachusetts,2015,547096,10.2
Michigan,2015,781517,10.2
Minnesota,2015,310116,7.4
Mississippi,2015,175845,7.8
Missouri,2015,448562,9.6
Montana,2015,71210,8.9
Nebraska,2015,101854,7.2
Nevada,2015,179450,8.1
New Hampshire,2015,107224,10.1
New Jersey,2015,501572,7.2
New Mexico,2015,155818,9.9
New York,2015,1532508,9.9
North Carolina,2015,633683,8.2
North Dakota,2015,52567,9
Ohio,2015,896185,10
Oklahoma,2015,279781,9.5
Oregon,2015,351437,11.2
Pennsylvania,2015,1020306,10.2
Rhode Island,2015,91992,11
South Carolina,2015,309943,8.2
South Dakota,2015,54406,8.4
Tennessee,2015,455946,9
Texas,2015,1528177,7.6
Utah,2015,187377,9
Vermont,2015,55265,11
Virginia,2015,513676,7.9
Washington,2015,516400,9.4
West Virginia,2015,158528,10.8
Wisconsin,2015,426296,9.5
Wyoming,2015,35482,8
Guam,2015,6921,6.5
Puerto Rico,2015,285801,10.2
Alabama,2014,353847,9.5
Alaska,2014,44865,8.1
Arizona,2014,484115,9.6
Arkansas,2014,197478,8.8
California,2014,2279568,7.8
Colorado,2014,342994,8.4
Connecticut,2014,257311,9.2
Delaware,2014,63855,8.8
District of Columbia,2014,62346,11.5
Florida,2014,1268162,8
Georgia,2014,626931,8.3
Hawaii,2014,102093,9.2
Idaho,2014,103201,8.6
Illinois,2014,898521,9.1
Indiana,2014,532909,10.7
Iowa,2014,201266,8.5
Kansas,2014,189350,8.7
Kentucky,2014,402690,11.9
Louisiana,2014,270261,7.7
Maine,2014,122881,11.6
Maryland,2014,393571,8.5
Massachusetts,2014,636176,12
Michigan,2014,831656,10.9
Minnesota,2014,350818,8.4
Mississippi,2014,166117,7.4
Missouri,2014,450530,9.7
Montana,2014,76683,9.6
Nebraska,2014,108805,7.7
Nevada,2014,172343,8.1
New Hampshire,2014,107371,10.2
New Jersey,2014,570238,8.3
New Mexico,2014,154861,9.9
New York,2014,1642598,10.7
North Carolina,2014,592279,7.8
North Dakota,2014,50533,8.7
Ohio,2014,957711,10.8
Oklahoma,2014,284303,9.7
Oregon,2014,314501,10.2
Pennsylvania,2014,979527,9.8
Rhode Island,2014,89462,10.8
South Carolina,2014,309409,8.3
South Dakota,2014,48213,7.5
Tennessee,2014,448189,8.9
Texas,2014,1312573,6.7
Utah,2014,178514,8.7
Vermont,2014,56644,11.3
Virginia,2014,556765,8.6
Washington,2014,500993,9.3
West Virginia,2014,161534,11
Wisconsin,2014,456134,10.3
Wyoming,2014,37351,8.3
Guam,2014,5972,5.6
Puerto Rico,2014,298155,10.6
