State Abbreviation,State,Year,Number With Current Asthma,Percent With Current Asthma,Number of Deaths,Adjusted Death Rate
FL,Florida,2019,1292568.0,7.4,199.0,7.9
GA,Georgia,2019,620794.0,7.7,115.0,10.5
HI,Hawaii,2019,106413.0,9.6,25.0,13.8
ID,Idaho,2019,131709.0,10.0,18.0,
IL,Illinois,2019,808461.0,8.2,171.0,12.2
IN,Indiana,2019,499841.0,9.8,86.0,12.0
IA,Iowa,2019,194614.0,8.0,54.0,14.9
KS,Kansas,2019,217474.0,9.9,31.0,9.2
KY,Kentucky,2019,326678.0,9.5,32.0,7.3
LA,Louisiana,2019,280621.0,7.9,40.0,7.9
ME,Maine,2019,127896.0,11.8,17.0,
MD,Maryland,2019,424051.0,9.0,77.0,11.6
MA,Massachusetts,2019,570379.0,10.3,80.0,10.0
MI,Michigan,2019,867732.0,11.1,106.0,9.9
MN,Minnesota,2019,358668.0,8.3,78.0,12.6
MS,Mississippi,2019,225468.0,9.9,58.0,18.1
MO,Missouri,2019,479037.0,10.1,60.0,9.0
MT,Montana,2019,83280.0,10.0,10.0,
NE,Nebraska,2019,116768.0,8.0,36.0,15.9
NV,Nevada,2019,224825.0,9.4,26.0,8.5
NH,New Hampshire,2019,119305.0,10.8,10.0,
NJ,New Jersey,2019,,,113.0,11.4
NM,New Mexico,2019,134715.0,8.4,25.0,10.2
NY,New York,2019,1419951.0,9.3,287.0,12.9
NC,North Carolina,2019,681689.0,8.3,93.0,8.1
ND,North Dakota,2019,47369.0,8.1,,
OH,Ohio,2019,1009034.0,11.1,123.0,9.2
OK,Oklahoma,2019,302947.0,10.2,50.0,11.9
OR,Oregon,2019,369735.0,11.1,41.0,7.7
PA,Pennsylvania,2019,1104033.0,10.9,120.0,8.0
RI,Rhode Island,2019,94817.0,11.2,11.0,
SC,South Carolina,2019,376358.0,9.4,50.0,8.4
SD,South Dakota,2019,56510.0,8.5,,
TN,Tennessee,2019,463655.0,8.8,70.0,9.9
TX,Texas,2019,1532311.0,7.1,205.0,7.1
UT,Utah,2019,223768.0,9.9,25.0,9.4
VT,Vermont,2019,59140.0,11.6,10.0,
VA,Virginia,2019,586339.0,8.8,95.0,10.1
WA,Washington,2019,590642.0,9.9,82.0,9.5
WV,West Virginia,2019,164016.0,11.5,15.0,
WI,Wisconsin,2019,460075.0,10.2,79.0,11.4
WY,Wyoming,2019,41968.0,9.5,,
,Guam,2019,5556.0,5.2,,
,Puerto Rico,2019,287511.0,10.5,,
AL,Alabama,2018,394634.0,10.5,61.0,11.0
AK,Alaska,2018,50685.0,9.2,14.0,
AZ,Arizona,2018,545104.0,10.0,92.0,11.4
AR,Arkansas,2018,225853.0,9.8,31.0,9.5
CA,California,2018,2607598.0,8.5,387.0,8.9
CO,Colorado,2018,399357.0,9.1,46.0,7.7
CT,Connecticut,2018,290278.0,10.3,42.0,9.7
DE,Delaware,2018,77035.0,10.1,12.0,
,District of Columbia,2018,66441.0,11.6,10.0,
FL,Florida,2018,1495632.0,8.7,211.0,8.1
GA,Georgia,2018,714569.0,8.9,98.0,9.2
HI,Hawaii,2018,104368.0,9.3,34.0,20.6
ID,Idaho,2018,111954.0,8.6,19.0,
IL,Illinois,2018,860007.0,8.7,137.0,9.9
IN,Indiana,2018,509651.0,10.0,73.0,9.9
IA,Iowa,2018,190960.0,7.9,41.0,11.5
KS,Kansas,2018,214698.0,9.8,29.0,8.8
KY,Kentucky,2018,395345.0,11.5,27.0,5.8
LA,Louisiana,2018,316423.0,8.9,55.0,11.3
ME,Maine,2018,132126.0,12.3,13.0,
MD,Maryland,2018,439909.0,9.3,49.0,7.3
MA,Massachusetts,2018,558435.0,10.2,67.0,8.3
MI,Michigan,2018,872519.0,11.2,98.0,9.0
MN,Minnesota,2018,357232.0,8.3,62.0,9.4
MS,Mississippi,2018,218223.0,9.7,51.0,15.5
MO,Missouri,2018,444334.0,9.4,84.0,12.9
MT,Montana,2018,82660.0,10.0,10.0,
NE,Nebraska,2018,128793.0,8.9,23.0,10.3
NV,Nevada,2018,186787.0,8.0,32.0,10.8
NH,New Hampshire,2018,128307.0,11.8,15.0,
NJ,New Jersey,2018,593242.0,8.4,93.0,9.0
NM,New Mexico,2018,157177.0,9.9,20.0,8.0
NY,New York,2018,1578011.0,10.1,267.0,11.7
NC,North Carolina,2018,757790.0,9.4,94.0,8.3
ND,North Dakota,2018,46996.0,8.2,,
OH,Ohio,2018,854186.0,9.4,124.0,9.3
OK,Oklahoma,2018,307581.0,10.3,38.0,8.7
OR,Oregon,2018,383340.0,11.6,58.0,11.4
PA,Pennsylvania,2018,1012588.0,10.0,135.0,8.4
RI,Rhode Island,2018,101251.0,11.9,,
SC,South Carolina,2018,360353.0,9.1,60.0,10.4
SD,South Dakota,2018,51652.0,7.9,,
TN,Tennessee,2018,513084.0,9.8,77.0,10.3
TX,Texas,2018,1572815.0,7.4,215.0,7.7
UT,Utah,2018,206360.0,9.3,30.0,10.9
VT,Vermont,2018,60216.0,12.0,,
VA,Virginia,2018,563510.0,8.5,92.0,9.9
WA,Washington,2018,558951.0,9.6,86.0,10.4
WV,West Virginia,2018,175368.0,12.3,20.0,8.2
WI,Wisconsin,2018,408318.0,9.0,71.0,10.1
WY,Wyoming,2018,38099.0,8.7,,
,Guam,2018,5272.0,5.0,,
,Puerto Rico,2018,303623.0,11.1,,
AL,Alabama,2017,409623.0,10.9,74.0,13.7
AK,Alaska,2017,46863.0,8.4,,
AZ,Arizona,2017,529155.0,9.8,92.0,11.7
AR,Arkansas,2017,219001.0,9.6,32.0,9.4
CA,California,2017,2398304.0,7.9,399.0,9.3
CO,Colorado,2017,404012.0,9.3,46.0,7.7
CT,Connecticut,2017,299336.0,10.7,38.0,9.0
DE,Delaware,2017,79827.0,10.6,14.0,
,District of Columbia,2017,52814.0,9.4,,
FL,Florida,2017,1258262.0,7.5,179.0,7.0
GA,Georgia,2017,663053.0,8.4,108.0,10.1
HI,Hawaii,2017,109177.0,9.8,24.0,13.4
